link,label,date,title,question,content
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F7E-hd-theo-luat-so-huu-tri-tue-viet-nam-nhan-hieu-co-the-duoc-bao-ho-trong-bao-lau.html,Nhãn hiệu,23:00 | 27/11/2024,"Theo Luật Sở hữu trí tuệ Việt Nam, nhãn hiệu có thể được bảo hộ trong bao lâu?","Theo Luật Sở hữu trí tuệ Việt Nam, nhãn hiệu có thể được bảo hộ trong bao lâu?","Căn cứ khoản 6 Điều 93Luật Sở hữu trí tuệ 2005quy định như sau: Điều 93. Hiệu lực của văn bằng bảo hộ 1. Văn bằng bảo hộ có hiệu lực trên toàn lãnh thổ Việt Nam. 2. Bằng độc quyền sáng chế có hiệu lực từ ngày cấp và kéo dài đến hết hai mươi năm kể từ ngày nộp đơn. 3. Bằng độc quyền giải pháp hữu ích có hiệu lực từ ngày cấp và kéo dài đến hết mười năm kể từ ngày nộp đơn. 4. Bằng độc quyền kiểu dáng công nghiệp có hiệu lực từ ngày cấp và kéo dài đến hết năm năm kể từ ngày nộp đơn, có thể gia hạn hai lần liên tiếp, mỗi lần năm năm. 5. Giấy chứng nhận đăng ký thiết kế bố trí mạch tích hợp bán dẫn có hiệu lực từ ngày cấp và chấm dứt vào ngày sớm nhất trong số những ngày sau đây: a) Kết thúc mười năm kể từ ngày nộp đơn; b) Kết thúc mười năm kể từ ngày thiết kế bố trí được người có quyền đăng ký hoặc người được người đó cho phép khai thác thương mại lần đầu tiên tại bất kỳ nơi nào trên thế giới; c) Kết thúc mười lăm năm kể từ ngày tạo ra thiết kế bố trí. 6. Giấy chứng nhận đăng ký nhãn hiệu có hiệu lực từ ngày cấp đến hết mười năm kể từ ngày nộp đơn, có thể gia hạn nhiều lần liên tiếp, mỗi lần mười năm. [...] Theo đó, giấy chứng nhận đăng ký nhãn hiệu có hiệu lực từ ngày cấp đến hết mười năm kể từ ngày nộp đơn, có thể gia hạn nhiều lần liên tiếp, mỗi lần mười năm. Như vậy, thời gian bảo hộ nhãn hiệu là 10 năm và có thể gia hạn nhiều lần liên tiếp, mỗi lần 10 năm.  Theo Luật Sở hữu trí tuệ Việt Nam, nhãn hiệu có thể được bảo hộ trong bao lâu? (Hình từ Internet)"
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F7E-hd-theo-luat-so-huu-tri-tue-viet-nam-nhan-hieu-co-the-duoc-bao-ho-trong-bao-lau.html,Nhãn hiệu,23:00 | 27/11/2024,"Theo Luật Sở hữu trí tuệ Việt Nam, nhãn hiệu có thể được bảo hộ trong bao lâu?",Thủ tục gia hạn Giấy chứng nhận đăng ký nhãn hiệu như thế nào?,"Theo Điều 31Nghị định 65/2023/NĐ-CPquy định thủ tục gia hạn giấy chứng nhận đăng ký nhãn hiệu như sau: Bước 1:Nộp hồ sơ gia hạn giấy chứng nhận đăng ký nhãn hiệu đến Cục Sở hữu trí tuệ. Thành phần hồ sơ bao gồm: - Tờ khai yêu cầu gia hạn hiệu lực làm theo Mẫu số 07 tại Phụ lục 2Nghị định 65/2023/NĐ-CP; - Bản gốc Giấy chứng nhận đăng ký nhãn hiệu nếu văn bằng bảo hộ được cấp dưới dạng giấy và có yêu cầu ghi nhận việc gia hạn vào văn bằng bảo hộ; - Văn bản ủy quyền nếu yêu cầu được nộp thông qua đại diện; - Bản sao chứng từ nộp phí, lệ phí nếu nộp phí, lệ phí qua dịch vụ bưu chính hoặc nộp trực tiếp vào tài khoản của cơ quan quản lý nhà nước về quyền sở hữu công nghiệp. Bước 2:Cục Sở hữu trí tuệ xem xét hồ sơ yêu cầu gia hạn Trong thời hạn 01 tháng kể từ ngày nhận được hồ sơ yêu cầu gia hạn, Cục Sở hữu trí tuệ xem xét hồ sơ yêu cầu gia hạn. Bước 3:Ra quyết định gia hạn hoặc từ chối gia hạn Giấy chứng nhận đăng ký nhãn hiệu (1) Trường hợp hồ sơ hợp lệ: Ra quyết định gia hạn hiệu lực văn bằng bảo hộ, ghi nhận vào văn bằng bảo hộ (nếu có yêu cầu), đăng bạ và công bố quyết định gia hạn hiệu lực Giấy chứng nhận đăng ký nhãn hiệu trên Công báo Sở hữu công nghiệp trong thời hạn 60 ngày kể từ ngày ra quyết định. Sau khi thủ tục gia hạn đã hoàn tất, trường hợp chủ Giấy chứng nhận đăng ký nhãn hiệu yêu cầu cơ quan quản lý nhà nước về quyền sở hữu công nghiệp ghi nhận quyết định gia hạn hiệu lực vào văn bằng bảo hộ, chủ văn bằng bảo hộ phải thực hiện thủ tục sửa đổi văn bằng bảo hộ và nộp phí, lệ phí theo quy định. (2) Trường hợp hồ sơ không hợp lệ: Ra thông báo dự định từ chối gia hạn, có nêu rõ lý do và ấn định thời hạn 02 tháng kể từ ngày ra thông báo để người yêu cầu sửa chữa thiếu sót hoặc có ý kiến phản đối nếu thuộc một trong các trường hợp sau đây: + Hồ sơ yêu cầu gia hạn không hợp lệ hoặc được nộp không đúng thủ tục quy định; + Người yêu cầu gia hạn không phải là chủ giấy chứng nhận đăng ký nhãn hiệu tương ứng. Nếu kết thúc thời hạn đã ấn định mà người yêu cầu không sửa chữa thiếu sót hoặc sửa chữa thiếu sót không đạt yêu cầu, không có ý kiến phản đối hoặc có ý kiến phản đối nhưng không xác đáng thì cơ quan quản lý nhà nước về quyền sở hữu công nghiệp ra quyết định từ chối gia hạn hiệu lực giấy chứng nhận đăng ký nhãn hiệu."
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F7E-hd-theo-luat-so-huu-tri-tue-viet-nam-nhan-hieu-co-the-duoc-bao-ho-trong-bao-lau.html,Nhãn hiệu,23:00 | 27/11/2024,"Theo Luật Sở hữu trí tuệ Việt Nam, nhãn hiệu có thể được bảo hộ trong bao lâu?",Tải Mẫu Tờ khai yêu cầu gia hạn hiệu lực Giấy chứng nhận đăng ký nhãn hiệu?,Mẫu Tờ khai yêu cầu gia hạn hiệu lực Giấy chứng nhận đăng ký nhãn hiệu được quy định tại Mẫu số 07 tại Phụ lục 2Nghị định 65/2023/NĐ-CP. Dưới đây là Mẫu Tờ khai yêu cầu gia hạn hiệu lực Giấy chứng nhận đăng ký nhãn hiệu:  Tải Mẫu Tờ khai yêu cầu gia hạn hiệu lực Giấy chứng nhận đăng ký nhãn hiệu: Tại đây
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F6A-hd-quyen-so-huu-cong-nghiep-gom-cac-quyen-nao.html,Quyền sở hữu công nghiệp,21:00 | 27/11/2024,Quyền sở hữu công nghiệp gồm các quyền nào?,Quyền sở hữu công nghiệp gồm các quyền nào?,"Căn cứ khoản 4 Điều 4Luật Sở hữu trí tuệ 2005được sửa đổi bởi khoản 2 Điều 1Luật Sở hữu trí tuệ sửa đổi 2009quy định như sau: Điều 4. Giải thích từ ngữ Trong Luật này, các từ ngữ dưới đây được hiểu như sau: 1. Quyền sở hữu trí tuệ là quyền của tổ chức, cá nhân đối với tài sản trí tuệ, bao gồm quyền tác giả và quyền liên quan đến quyền tác giả, quyền sở hữu công nghiệp và quyền đối với giống cây trồng. 2. Quyền tác giả là quyền của tổ chức, cá nhân đối với tác phẩm do mình sáng tạo ra hoặc sở hữu. 3. Quyền liên quan đến quyền tác giả (sau đây gọi là quyền liên quan) là quyền của tổ chức, cá nhân đối với cuộc biểu diễn, bản ghi âm, ghi hình, chương trình phát sóng, tín hiệu vệ tinh mang chương trình được mã hóa. 4.Quyền sở hữu công nghiệplà quyền của tổ chức, cá nhân đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí mạch tích hợp bán dẫn, nhãn hiệu, tên thương mại, chỉ dẫn địa lý, bí mật kinh doanh do mình sáng tạo ra hoặc sở hữu và quyền chống cạnh tranh không lành mạnh. [...] Như vậy, quyền sở hữu công nghiệp gồm các quyền của tổ chức, cá nhân đối với: - Sáng chế; - Kiểu dáng công nghiệp; - Thiết kế bố trí mạch tích hợp bán dẫn; - Nhãn hiệu; - Tên thương mại; - Chỉ dẫn địa lý; - Bí mật kinh doanh do mình sáng tạo ra hoặc sở hữu và quyền chống cạnh tranh không lành mạnh.  Quyền sở hữu công nghiệp gồm các quyền nào? (Hình từ Internet)"
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F6A-hd-quyen-so-huu-cong-nghiep-gom-cac-quyen-nao.html,Quyền sở hữu công nghiệp,21:00 | 27/11/2024,Quyền sở hữu công nghiệp gồm các quyền nào?,Quyền sở hữu công nghiệp được xác lập như thế nào?,"Theo khoản 3 Điều 6Luật Sở hữu trí tuệ 2005được sửa đổi bởi khoản 1 Điều 2Luật Kinh doanh bảo hiểm, Luật Sở hữu trí tuệ sửa đổi 2019quy định như sau: Điều 6. Căn cứ phát sinh, xác lập quyền sở hữu trí tuệ [...] 3. Quyền sở hữu công nghiệp được xác lập như sau: a) Quyền sở hữu công nghiệp đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí, nhãn hiệu được xác lập trên cơ sở quyết định cấp văn bằng bảo hộ của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này hoặc công nhận đăng ký quốc tế theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên. Quyền sở hữu công nghiệp đối với nhãn hiệu nổi tiếng được xác lập trên cơ sở sử dụng, không phụ thuộc vào thủ tục đăng ký. Quyền sở hữu công nghiệp đối với chỉ dẫn địa lý được xác lập trên cơ sở quyết định cấp văn bằng bảo hộ của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này hoặc theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên; b) Quyền sở hữu công nghiệp đối với tên thương mại được xác lập trên cơ sở sử dụng hợp pháp tên thương mại đó; c) Quyền sở hữu công nghiệp đối với bí mật kinh doanh được xác lập trên cơ sở có được một cách hợp pháp bí mật kinh doanh và thực hiện việc bảo mật bí mật kinh doanh đó; d) Quyền chống cạnh tranh không lành mạnh được xác lập trên cơ sở hoạt động cạnh tranh trong kinh doanh. 4. Quyền đối với giống cây trồng được xác lập trên cơ sở quyết định cấp Bằng bảo hộ giống cây trồng của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này. Theo đó, quyền sở hữu công nghiệp được xác lập như sau: - Quyền sở hữu công nghiệp đối với sáng chế, kiểu dáng công nghiệp, thiết kế bố trí, nhãn hiệu được xác lập trên cơ sở quyết định cấp văn bằng bảo hộ của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này hoặc công nhận đăng ký quốc tế theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên. Quyền sở hữu công nghiệp đối với nhãn hiệu nổi tiếng được xác lập trên cơ sở sử dụng, không phụ thuộc vào thủ tục đăng ký. Quyền sở hữu công nghiệp đối với chỉ dẫn địa lý được xác lập trên cơ sở quyết định cấp văn bằng bảo hộ của cơ quan nhà nước có thẩm quyền theo thủ tục đăng ký quy định tại Luật này hoặc theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên; - Quyền sở hữu công nghiệp đối với tên thương mại được xác lập trên cơ sở sử dụng hợp pháp tên thương mại đó; - Quyền sở hữu công nghiệp đối với bí mật kinh doanh được xác lập trên cơ sở có được một cách hợp pháp bí mật kinh doanh và thực hiện việc bảo mật bí mật kinh doanh đó; - Quyền chống cạnh tranh không lành mạnh được xác lập trên cơ sở hoạt động cạnh tranh trong kinh doanh."
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F6A-hd-quyen-so-huu-cong-nghiep-gom-cac-quyen-nao.html,Quyền sở hữu công nghiệp,21:00 | 27/11/2024,Quyền sở hữu công nghiệp gồm các quyền nào?,Cách thức nộp đơn đăng ký xác lập quyền sở hữu công nghiệp như thế nào?,"Theo Điều 89Luật Sở hữu trí tuệ 2005được bổ sung bởi khoản 5 Điều 2Luật Kinh doanh bảo hiểm, Luật Sở hữu trí tuệ sửa đổi 2019quy định cách thức nộp đơn đăng ký xác lập quyền sở hữu công nghiệp như sau: - Tổ chức, cá nhân Việt Nam, cá nhân nước ngoài thường trú tại Việt Nam, tổ chức, cá nhân nước ngoài có cơ sở sản xuất, kinh doanh tại Việt Nam nộp đơn đăng ký xác lập quyền sở hữu công nghiệp trực tiếp hoặc thông qua đại diện hợp pháp tại Việt Nam. - Cá nhân nước ngoài không thường trú tại Việt Nam, tổ chức, cá nhân nước ngoài không có cơ sở sản xuất, kinh doanh tại Việt Nam nộp đơn đăng ký xác lập quyền sở hữu công nghiệp thông qua đại diện hợp pháp tại Việt Nam. - Đơn đăng ký xác lập quyền sở hữu công nghiệp được nộp dưới hình thức văn bản ở dạng giấy cho cơ quan quản lý nhà nước về quyền sở hữu công nghiệp hoặc dạng điện tử theo hệ thống nộp đơn trực tuyến."
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F95-hd-quyen-bao-ve-giong-cay-trong-co-the-keo-dai-bao-lau.html,Bảo hộ giống cây trồng,16:30 | 27/11/2024,Quyền bảo vệ giống cây trồng có thể kéo dài bao lâu?,Quyền bảo vệ giống cây trồng có thể kéo dài bao lâu?,"Căn cứ Điều 169Luật Sở hữu trí tuệ 2005được sửa đổi bởi điểm k khoản 82 Điều 1Luật Sở hữu trí tuệ sửa đổi 2022quy định như sau: Điều 169. Hiệu lực của Bằng bảo hộ giống cây trồng 1. Bằng bảo hộ giống cây trồng có hiệu lực trên toàn lãnh thổ Việt Nam. 2. Bằng bảo hộ giống cây trồng có hiệu lực kể từ ngày cấp đến hết hai mươi lăm năm đối với giống cây thân gỗ và cây leo thân gỗ; đến hết hai mươi năm đối với các giống cây trồng khác. 3. Bằng bảo hộ giống cây trồng có thể bị đình chỉ hoặc huỷ bỏ hiệu lực theo quy định tại Điều 170 và Điều 171 của Luật này. Như vậy, tùy vào loại giống cây trồng mà quyền bảo vệ giống cây trồng theo thời hạn hiệu lực của bằng bảo hộ giống cây trồng khác nhau. Bằng bảo hộ giống cây trồng có hiệu lực kể từ ngày cấp đến hết hai mươi lăm năm đối với giống cây thân gỗ và cây leo thân gỗ; đến hết hai mươi năm đối với các giống cây trồng khác.  Quyền bảo vệ giống cây trồng có thể kéo dài bao lâu? (Hình từ Internet)"
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F95-hd-quyen-bao-ve-giong-cay-trong-co-the-keo-dai-bao-lau.html,Bảo hộ giống cây trồng,16:30 | 27/11/2024,Quyền bảo vệ giống cây trồng có thể kéo dài bao lâu?,03 trường hợp bắt buộc phải chuyển giao quyền sử dụng giống cây trồng được bảo hộ?,"Theo Điều 21Nghị định 79/2023/NĐ-CPquy định 03 trường hợp bắt buộc chuyển giao quyền sử dụng giống cây trồng được bảo hộ bao gồm: (1) Việc sử dụng giống cây trồng nhằm mục đích công cộng, phi thương mại, phục vụ nhu cầu quốc phòng, an ninh, an ninh lương thực và dinh dưỡng cho nhân dân hoặc đáp ứng các nhu cầu cấp thiết của xã hội như thiên tai, dịch bệnh, chiến tranh,ô nhiễm môi trườngtrên diện rộng; Lưu ý:Trong trường hợp này, Bộ Nông nghiệp và Phát triển nông thôn sẽ thông báo công khai nhu cầu về giống gồm: tên giống cây trồng, mục đích, lượng giống cần sử dụng, phạm vi, thời gian đáp ứng mục đích chuyển giao và thời hạn nộp hồ sơ đăng ký để tổ chức, cá nhân có nhu cầu sử dụng giống cây trồng đăng ký. (2) Người có nhu cầu và năng lực sử dụng giống cây trồng không đạt được thỏa thuận với người nắm độc quyền sử dụng giống cây trồng về việc ký kết hợp đồng sử dụng giống cây trồng mặc dù trong 12 tháng (trừ trường hợp bất khả kháng) đã cố gắng thương lượng với mức giá và các điều kiện thương mại thỏa đáng; (3) Người nắm độc quyền sử dụng giống cây trồng bị coi là thực hiện hành vi hạn chế cạnh tranh bị cấm theo quy định của pháp luật về cạnh tranh."
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4F95-hd-quyen-bao-ve-giong-cay-trong-co-the-keo-dai-bao-lau.html,Bảo hộ giống cây trồng,16:30 | 27/11/2024,Quyền bảo vệ giống cây trồng có thể kéo dài bao lâu?,Sử dụng Bằng bảo hộ giống cây trồng đã hết hiệu lực bị phạt bao nhiêu tiền?,"Theo Điều 18Nghị định 31/2023/NĐ-CPquy định như sau: Điều 18. Vi phạm quy định về nghĩa vụ của chủ Bằng bảo hộ, tác giả giống cây trồng 1. Phạt tiền từ 15.000.000 đồng đến 25.000.000 đồng đối với một trong các hành vi sau đây: a) Chủ Bằng bảo hộ giống cây trồng không thực hiện việc chuyển giao quyền sử dụng giống cây trồng đã được bảo hộ theo quyết định bắt buộc chuyển giao của cơ quan có thẩm quyền; b) Chủ Bằng bảo hộ giống cây trồng không trả thù lao cho tác giả giống cây trồng theo quy định; c) Chủ Bằng bảo hộ không đáp ứng được điều kiện về tính khác biệt, tính đồng nhất, tính ổn định của giống cây trồng được bảo hộ như tại thời điểm cấp Bằng bảo hộ giống cây trồng mà vẫn khai thác, sử dụng vật liệu nhân giống; d) Tác giả giống cây trồng không thực hiện đúng nghĩa vụ giúp chủ Bằng bảo hộ duy trì vật liệu nhân giống của giống cây trồng được bảo hộ. 2. Phạt tiền từ 20.000.000 đồng đến 30.000.000 đồng đối với hành vi sử dụng Bằng bảo hộ giống cây trồng đã hết hiệu lực, bị đình chỉ hoặc hủy bỏ hiệu lực để thực hiện quyền đối với giống cây trồng. 3. Biện pháp khắc phục hậu quả: a) Buộc nộp lại số lợi bất hợp pháp có được do thực hiện hành vi quy định tại điểm c khoản 1 và khoản 2 Điều này; b) Buộc nộp lại Bằng bảo hộ giống cây trồng cho cơ quan, người có thẩm quyền đã cấp đối với hành vi quy định tại điểm c khoản 1 Điều này. Theo khoản 3 Điều 5Nghị định 31/2023/NĐ-CPcó quy định về mức phạt tiền như sau: Điều 5. Quy định về mức phạt tiền và thẩm quyền phạt tiền [...] 3. Mức phạt tiền quy định tại chương II, chương III của Nghị định này là mức phạt tiền áp dụng đối với cá nhân. Mức phạt tiền đối với tổ chức có cùng một hành vi vi phạm hành chính gấp 02 lần mức phạt tiền đối với cá nhân. [...] Theo đó, sử dụng Bằng bảo hộ giống cây trồng đã hết hiệu lực để thực hiện quyền đối với giống cây trồng phạt tiền từ 20.000.000 đồng đến 30.000.000 đồng. Ngoài ra, buộc nộp lại số lợi bất hợp pháp có được do thực hiện hành vi trên. Lưu ý:Mức phạt tiền trên được áp dụng đối với cá nhân. Mức phạt tiền đối với tổ chức có cùng một hành vi vi phạm hành chính gấp 02 lần mức phạt tiền đối với cá nhân."
https://thuvienphapluat.vn/hoi-dap-phap-luat/83A4C97-hd-danh-muc-107-loai-cay-trong-duoc-bao-ho-tai-viet-nam-hien-nay.html,Cây trồng được bảo hộ,14:45 | 17/11/2024,"Danh mục 107 loài cây trồng được bảo hộ tại Việt Nam hiện nay?
",Danh mục 107 loài cây trồng được bảo hộ tại Việt Nam hiện nay?,"Ngày 14/08/2014, Bộ Nông Nghiệp và Phát triển nông thôn ban hànhThông tư 28/2015/TT-BNNPTNTcông bố Danh mục loài cây trồng được bảo hộ tại Việt Nam. Theo đó, căn cứ theo Danh mục loài cây trồng được bảo hộ ban hành kèm theoThông tư 28 /2015/TT-BNNPTNT, danh mục 107 loài cây trồng được bảo hộ tại Việt Nam hiện nay bao gồm: STTTên Việt Nam(Vietnamese name)Tên khoa học(Botanical name)1BầuLagenaria sinceraria (Molina) Stanley.2Bí Ngô (Bí đỏ)Cucurbita maxima Duch; Cucurbita pepo L; Cucurbita moschata L.3BơPersea americana Mill.4BôngGossypium hirsutum L. và Gossypium barbadense L.5BưởiCitrus grandis L.6Cà tímSolanum melongena L.7Cà chuaLycopersicon esculentum Mill8Cà phê và các giống lai giữa các loài cà phê khác nhauCoffea arabica L. Coffea canephora Pierre ex.A.Froehner9Cà rốtDaucus carota L.10Cải bắpBrassica oleracea L.11Cải củRaphanus sativus L.12Cải thảoBrassica pekinensis Lour. Rupr.13CamCitrus L. Rutaceae14Cẩm chướngDianthus L.15Cần tâyApium graveolens L.16Cao suHevea Aubl.17Cây rong rổCalathea.18ChèCammellia sinensis19Chè dâyAmpelopsis cantoniensis (Hook.et.Am) Planch.20Chi diếp (lưỡi mác)Lactus sp.21Chùm ngâyMoringa oleifera L.22ChuốiMusa acuminata Colla; Musa xparadisiaca L.23CỏPennisetum americanun [L] Leeke; Pennisetum purpuretum Schumach;24Cúc Vạn thọTagetes L.25Hồng mônAnthurium Schott.26ĐàoPrunus persica (L) Batsch)27Đậu BắpAbelmoschus esculentus (L.) Moench.28Đậu cô vePhaseolus vulgaris L.29Đậu đũaVigna unguiculata (L) Walp.supsp.secquibedalis (L) Verdc. L.30Đậu Hà LanPisum sativum L.31Đậu xanhVigna radiata (L.) R Wilczek32Dâu tằmVicia faba L. var. major Harz33Dâu tâyFragaria L.34Đậu tươngGlycine max (l.) Merrill35DẻCastanea sativa Mill.36Địa lanCymbidium Sw37Đu đủCarica papaya L38DứaAnanas comosus (L.) Merr.39Dưa chuộtCucumis sativus L.40Dưa hấuCitrullus lanatus (Thunb) Matsum et Nakai41GừngZingiber officinale Rosc.42Hành, HẹAllium Cepa; Allium Oschaninii O.Fedtsch43Hoa cúcChrysanthemum spec.44Hoa Đồng tiềnGerbera Cass45Hoa giấyBougainvillea.46Hoa hồngRosa L.47Hoa Lay ơnGladiolus L.48Hoa LilyLilium L.49Hoa trạng nguyênEuphorbia pulcherrima Willd.ex Klotzsch50HồngDiospyros kaki L.51Hướng dươngHelianthus annuus L.52Khoai langIpomoea batatas .L53Khoai mônColocasia esculenta (L.) Schott54Khoai tâySolanum tuberosum (L)55LạcArachis hypogea L.56Lan (Hòa thảo)Dendrobium Sw.57Lan hồ điệpPhalaenopsis Blume.58Lan MokaraMokara.59LêPyrus communis L.60LúaOryza Sativa L.61MậnPrunus salicina Lindl.62MíaSaccharum L.63MơPrunus arminiaca L.64Móng bòBauhinia sp.65Mướp đắngMomordica Charantia L.66NgôZea mays L.67NhãnDimocartpus Longan L.68NhoVitis L.69ỔiPsidium guava L.70ỚtCapsicum anmum L.71Rau DềnAmaranthus L.72Rau muốngIpomoea aquatica73SắnManihot esculenta Crantz74SenLotus corniculatus L.; Lotus pendunculatus Cav.; Lotus uliginosus Schkuhr.;Lotus tenuis Walds.et.kit.ex Wlld; Lotus subbiflorus. Lag.75Sống đời (cây bỏng)Kalanchoe blossfeldiana Poelln.76Su hàoBrrassica oleracea L.77SungFicus L. (Ficus costata Ait; Ficus benjamitina L.; Ficus carica L.78Sup lơBrrassica oleracea L. Convar botrytis (L.) Alef. Var.botrytis L.79TáoMalus domestica Borkh80Thanh LongHylocereus (Haw.) Britton & Rose;Hyceloreus Costaricensis (F.A.C Weber); Hylocereus Polyrhizus (F.A.C Weber)81Hải đườngBegonia×hiemalis Fotsch82Thược dượcDahlia Cav.83Thuốc láNicotiana tabacum L.84Trinh nữ hoàng cungCrinum latifolium L.85Tuy lipTulipa L.86VảiLitche chinensis L.87Xà láchLactuca sativa L.88Xích đồng nam (Mỏ đỏ, xích đồng)Clerodendrum kaempferi (jacq) Siebold, exhassk89XoàiMangifera indica L.90Xương rồngNhóm Chumbera, Nopal tunero, Tuna và Nhóm Xoconostles91Lily Peru (Lily Thảo Mộc)Alstroemeria92Cao lươngSorghum Bicolor L.93VừngSesamum Indicum L.94Nghệ đenCurcuma zedoaria95Nghệ vàngCurcuma Longa L.96Nghệ trắngCurcuma aromatica97Mac caMacadamia integrifolia Maiden et Betche,Macadamia tetraphylla L.A.S. Johnson)98Sacha InchiPlukenetia Volubilis L.99Dẻ Nhật BảnCastanea crenata Mill.100Dẻ châu MỹCastanea dentata Mill.101Tung dầuAleurites fordii (Hemsl.).102Các loài thuộc chi SồiQuercus L.103Hồ tiêuPiper nigrum L.104ĐiềuAnacardium occidentale L.105Ca caoTheobroma cacao L.106DừaCocos nucifera L.107Cỏ Linh lăngMedicago sativa L.  Danh mục 107 loài cây trồng được bảo hộ tại Việt Nam hiện nay? (Hình từ Internet)"
